Tahun Ajaran;SMP NEGERI 1 GUNUNG SUGIH;SMP NEGERI 2 GUNUNG SUGIH;SMP NEGERI 3 GUNUNG SUGIH;SMP NEGERI 4 GUNUNG SUGIH;SMP NEGERI SATU ATAP 1 GUNUNG SUGIH;SMP ASSHIDDIQIYAH;SMP ISLAM TERPADU CINTA ILAHI;SMP KRIDA UTAMA;Total 
2015/2016 Ganjil ;653;226;91;506;132;74;17;66;1765
 2015/2016 Genap;653;226;91;506;132;74;17;66;1765
2016/2017 Ganjil ;663;168;70;496;116;61;35;57;1666
2016/2017 Genap ;663;168;70;496;116;61;35;57;1666
2017/2018 Ganjil ;661;123;80;492;114;80;44;57;1651
2017/2018 Genap;661;123;79;489;114;80;44;55;1645
2018/2019 Ganjil;594;168;91;513;94;84;43;56;1643
2018/2019 Genap;595;167;91;510;93;84;44;55;1639
2019/2020 Ganjil;578;220;89;516;86;84;66;78;1717
2019/2020 Genap;578;223;89;517;86;84;66;78;1721
2020/2021 Ganjil;583;260;78;557;81;95;58;91;1803
2020/2021 Genap;432;171;45;382;55;57;39;75;1256
